Name,Price,Bottle size
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER CHENE GRAND RES CHARDONNAY</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2200.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1486"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER CHENE GRANDE RESERVE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2200.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-523"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER LA RESERVE BLANC WHITE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1175.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-458"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER LA RESERVE BRUT ROYALE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>2200.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1363"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER LA RESERVE FUME BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1175.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1364"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER LA RESERVE RED WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1175.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-511"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER LA RESERVE SYRAH GRENACHE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1175.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1366"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER SOIREE BRUT MAGNIFIQUE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1375.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1369"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER SOIREE BRUT MAGNIFIQUE ROSE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1475.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2091"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER SOIREE BRUT METHODE TRADITION</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1375.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2448"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
